D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_33_702.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_33_702.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_33_702.jpg,-0.04887218,1,0,30.19026
D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_33_769.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_33_769.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_33_769.jpg,-0.04887218,1,0,30.18962
D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_33_838.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_33_838.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_33_838.jpg,-0.06390978,1,0,30.19001
D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_33_906.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_33_906.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_33_906.jpg,-0.09022556,1,0,30.18946
D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_33_974.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_33_974.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_33_974.jpg,-0.09398497,1,0,30.18951
D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_34_053.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_34_053.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_34_053.jpg,-0.09774436,1,0,30.18968
D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_34_130.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_34_130.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_34_130.jpg,-0.1052632,1,0,30.18966
D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_34_207.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_34_207.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_34_207.jpg,-0.1052632,1,0,30.18983
D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_34_275.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_34_275.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_34_275.jpg,-0.1052632,1,0,30.18993
D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_34_355.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_34_355.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_34_355.jpg,-0.1052632,1,0,30.18999
D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_34_434.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_34_434.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_34_434.jpg,-0.1052632,1,0,30.19003
D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_34_502.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_34_502.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_34_502.jpg,-0.1052632,1,0,30.19002
D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_34_571.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_34_571.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_34_571.jpg,-0.1052632,1,0,30.19018
D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_34_650.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_34_650.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_34_650.jpg,-0.1052632,1,0,30.19011
D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_34_729.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_34_729.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_34_729.jpg,-0.1052632,1,0,30.19005
D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_34_809.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_34_809.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_34_809.jpg,-0.09774436,1,0,30.18993
D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_34_877.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_34_877.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_34_877.jpg,-0.04887218,1,0,30.19072
D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_34_949.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_34_949.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_34_949.jpg,-0.01879699,1,0,30.19039
D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_35_016.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_35_016.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_35_016.jpg,0.131579,1,0,30.18303
D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_35_084.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_35_084.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_35_084.jpg,0.131579,1,0,30.18647
D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_35_150.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_35_150.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_35_150.jpg,0.131579,1,0,30.18789
D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_35_229.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_35_229.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_35_229.jpg,0.131579,1,0,30.18884
D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_35_296.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_35_296.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_35_296.jpg,0.08646616,1,0,30.19039
D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_35_363.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_35_363.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_35_363.jpg,0.0112782,1,0,30.18989
D:\code\car4\recorded_data\IMG\center_2019_08_14_16_39_35_430.jpg,D:\code\car4\recorded_data\IMG\left_2019_08_14_16_39_35_430.jpg,D:\code\car4\recorded_data\IMG\right_2019_08_14_16_39_35_430.jpg,0.0112782,1,0,30.19026
